Designator,Value,Footprint,Mid X,Mid Y,Rotation,Layer
"D1","LED","LED_0603_1608Metric",172.9000,-110.5000,0.0000,top
"R1","R","R_0805_2012Metric",169.0000,-114.0000,-90.0000,top
